ticket_id,customer_id,issue_type,resolution_time_hours,satisfaction_score
TICK000069,CUST044422,Wrong Item,56,2
TICK000070,CUST027860,Payment Issue,51,3
TICK000071,CUST030958,Late Delivery,116,1
TICK000072,CUST022928,Wrong Item,24,5
TICK000073,CUST045417,Refund,77,1
TICK000074,CUST042038,Refund,76,2
TICK000075,CUST009401,Late Delivery,85,2
TICK000076,CUST007295,Payment Issue,102,3
TICK000077,CUST021087,Refund,105,4
TICK000078,CUST047761,Payment Issue,103,3
TICK000079,CUST002099,Payment Issue,53,5
TICK000080,CUST004827,Late Delivery,29,2
TICK000081,CUST027131,Damaged Product,56,4
TICK000082,CUST009808,Payment Issue,100,4
TICK000083,CUST004901,Refund,58,5
TICK000084,CUST013244,Refund,57,1
TICK000085,CUST038739,Wrong Item,47,3
TICK000086,CUST028954,Late Delivery,49,2
TICK000087,CUST000696,Damaged Product,97,3
TICK000088,CUST041142,Late Delivery,89,4
TICK000089,CUST031086,Payment Issue,13,1
TICK000090,CUST019156,Damaged Product,5,3
TICK000091,CUST011170,Refund,23,5
TICK000092,CUST007009,Late Delivery,58,2
TICK000093,CUST025340,Wrong Item,14,2
TICK000094,CUST011177,Payment Issue,40,5
TICK000095,CUST023079,Late Delivery,27,2
TICK000096,CUST033978,Refund,72,3
TICK000097,CUST028467,Late Delivery,100,3
TICK000098,CUST045723,Refund,44,4
TICK000099,CUST035594,Wrong Item,18,1
TICK000100,CUST007623,Payment Issue,18,3
TICK000101,CUST004268,Wrong Item,10,3
TICK000102,CUST048461,Wrong Item,44,1
TICK000103,CUST040109,Refund,2,5
TICK000104,CUST007965,Wrong Item,19,3
TICK000105,CUST027623,Wrong Item,10,5
TICK000106,CUST029942,Damaged Product,25,3
TICK000107,CUST038000,Refund,6,2
TICK000108,CUST037457,Wrong Item,77,4
TICK000109,CUST028097,Refund,97,4
TICK000110,CUST024795,Damaged Product,47,3
TICK000111,CUST028685,Payment Issue,18,3
TICK000112,CUST000654,Late Delivery,9,4
TICK000113,CUST005589,Wrong Item,39,3
TICK000114,CUST033823,Damaged Product,39,3
TICK000115,CUST007712,Late Delivery,107,3
TICK000116,CUST012862,Late Delivery,75,3
TICK000117,CUST033399,Payment Issue,83,5
TICK000118,CUST001015,Refund,21,5
TICK000119,CUST046986,Payment Issue,67,5
TICK000120,CUST044993,Damaged Product,110,2
TICK000121,CUST015563,Damaged Product,71,5
TICK000122,CUST036193,Late Delivery,57,1
TICK000123,CUST003926,Wrong Item,119,2
TICK000124,CUST028817,Refund,23,4
TICK000125,CUST042416,Damaged Product,8,4
TICK000126,CUST022928,Damaged Product,41,2
TICK000127,CUST024186,Wrong Item,82,4
TICK000128,CUST044294,Refund,91,4
TICK000129,CUST008216,Wrong Item,20,5
TICK000130,CUST007690,Damaged Product,9,5
TICK000131,CUST009537,Damaged Product,113,1
TICK000132,CUST031648,Payment Issue,19,3
TICK000133,CUST027116,Damaged Product,2,4
TICK000134,CUST040499,Payment Issue,106,1
TICK000135,CUST028896,Refund,17,5
TICK000136,CUST047218,Wrong Item,63,2
TICK000137,CUST006354,Late Delivery,43,5
TICK000138,CUST028346,Damaged Product,28,2
TICK000139,CUST049493,Wrong Item,62,2
TICK000140,CUST040781,Refund,104,4
TICK000141,CUST026045,Payment Issue,101,1
TICK000142,CUST013621,Damaged Product,115,3
TICK000143,CUST046450,Damaged Product,113,1
TICK000144,CUST015501,Damaged Product,25,3
TICK000145,CUST047264,Wrong Item,24,5
TICK000146,CUST003782,Refund,107,3
TICK000147,CUST010618,Damaged Product,102,5
TICK000148,CUST027248,Late Delivery,55,5
TICK000149,CUST032586,Wrong Item,16,4
TICK000150,CUST017605,Late Delivery,43,1
TICK000151,CUST025274,Damaged Product,76,4
TICK000152,CUST017929,Wrong Item,15,2
TICK000153,CUST002094,Payment Issue,10,2
TICK000154,CUST036040,Wrong Item,115,4
TICK000155,CUST003990,Late Delivery,21,1
TICK000156,CUST030057,Late Delivery,14,2
TICK000157,CUST009362,Payment Issue,98,1
TICK000158,CUST002889,Wrong Item,70,5
TICK000159,CUST013379,Payment Issue,48,2
TICK000160,CUST020653,Payment Issue,119,1
TICK000161,CUST037735,Payment Issue,30,2
TICK000162,CUST037796,Damaged Product,39,2
TICK000163,CUST016089,Wrong Item,18,2
TICK000164,CUST027916,Payment Issue,45,4
TICK000165,CUST001422,Wrong Item,30,5
TICK000166,CUST040037,Damaged Product,58,3
TICK000167,CUST025938,Refund,24,5
TICK000168,CUST010497,Wrong Item,77,1
TICK000169,CUST015672,Refund,76,1
TICK000170,CUST028460,Damaged Product,106,4
TICK000171,CUST005742,Late Delivery,86,3
TICK000172,CUST039864,Refund,2,2
TICK000173,CUST040030,Damaged Product,78,1
TICK000174,CUST000843,Refund,31,4
TICK000175,CUST039667,Damaged Product,16,4
TICK000176,CUST019086,Damaged Product,113,3
TICK000177,CUST003238,Refund,30,3
TICK000178,CUST026347,Payment Issue,101,1
TICK000179,CUST022866,Payment Issue,18,1
TICK000180,CUST006469,Damaged Product,24,2
TICK000181,CUST009770,Payment Issue,92,5
TICK000182,CUST003044,Late Delivery,77,4
TICK000183,CUST045120,Late Delivery,2,1
TICK000184,CUST035691,Payment Issue,14,2
TICK000185,CUST016786,Payment Issue,90,3
TICK000186,CUST020875,Late Delivery,118,3
TICK000187,CUST038771,Late Delivery,13,3
TICK000188,CUST037401,Refund,47,4
TICK000189,CUST030070,Payment Issue,39,1
TICK000190,CUST049642,Refund,3,2
TICK000191,CUST015012,Payment Issue,21,4
TICK000192,CUST001481,Late Delivery,19,5
TICK000193,CUST028912,Damaged Product,119,2
TICK000194,CUST027416,Payment Issue,16,2
TICK000195,CUST033225,Damaged Product,116,4
TICK000196,CUST049032,Damaged Product,64,3
TICK000197,CUST014547,Refund,112,1
TICK000198,CUST015352,Wrong Item,2,2
TICK000199,CUST013660,Refund,37,2
TICK000200,CUST007850,Damaged Product,34,2
TICK000201,CUST046160,Damaged Product,44,4
TICK000202,CUST040340,Wrong Item,31,5
TICK000203,CUST036198,Damaged Product,30,2
TICK000204,CUST035425,Payment Issue,2,4
TICK000205,CUST036430,Damaged Product,24,2
TICK000206,CUST018512,Late Delivery,1,3
TICK000207,CUST046586,Refund,1,3
TICK000208,CUST004183,Refund,101,1
TICK000209,CUST009767,Late Delivery,44,4
TICK000210,CUST045692,Payment Issue,81,5
TICK000211,CUST015553,Damaged Product,74,3
TICK000212,CUST038414,Damaged Product,60,4
TICK000213,CUST037253,Wrong Item,50,2
TICK000214,CUST008755,Payment Issue,84,1
TICK000215,CUST045047,Wrong Item,75,5
TICK000216,CUST006433,Late Delivery,86,2
TICK000217,CUST003619,Damaged Product,80,2
TICK000218,CUST043175,Payment Issue,3,3
TICK000219,CUST012857,Wrong Item,1,3
TICK000220,CUST006466,Refund,115,3
TICK000221,CUST035260,Payment Issue,80,4
TICK000222,CUST033684,Wrong Item,114,4
TICK000223,CUST007516,Damaged Product,38,4
TICK000224,CUST017528,Late Delivery,14,2
TICK000225,CUST045630,Payment Issue,5,1
TICK000226,CUST026983,Refund,75,4
TICK000227,CUST024867,Wrong Item,105,4
TICK000228,CUST043845,Damaged Product,79,3
TICK000229,CUST016363,Payment Issue,85,4
TICK000230,CUST046570,Payment Issue,52,4
TICK000231,CUST031187,Late Delivery,49,4
TICK000232,CUST015044,Payment Issue,13,1
TICK000233,CUST033195,Wrong Item,116,1
TICK000234,CUST043243,Refund,37,3
TICK000235,CUST019478,Refund,57,2
TICK000236,CUST026588,Damaged Product,84,1
TICK000237,CUST023166,Payment Issue,104,4
TICK000238,CUST037044,Damaged Product,63,1
TICK000239,CUST010070,Late Delivery,37,2
TICK000240,CUST035582,Refund,62,1
TICK000241,CUST017597,Damaged Product,41,5
TICK000242,CUST017249,Payment Issue,106,2
TICK000243,CUST030052,Wrong Item,96,2
TICK000244,CUST038456,Late Delivery,65,3
TICK000245,CUST003348,Late Delivery,106,4
TICK000246,CUST048165,Payment Issue,1,4
TICK000247,CUST023185,Refund,50,4
TICK000248,CUST024262,Refund,116,5
TICK000249,CUST033486,Wrong Item,114,1
TICK000250,CUST017068,Damaged Product,57,5
TICK000251,CUST015364,Damaged Product,64,2
TICK000252,CUST026410,Damaged Product,20,3
TICK000253,CUST021366,Refund,4,4
TICK000254,CUST037282,Refund,118,5
TICK000255,CUST001248,Late Delivery,37,3
TICK000256,CUST033651,Damaged Product,82,3
TICK000257,CUST039758,Damaged Product,21,1
TICK000258,CUST020074,Late Delivery,42,3
TICK000259,CUST049013,Late Delivery,7,1
TICK000260,CUST028132,Refund,117,5
TICK000261,CUST000902,Payment Issue,11,3
TICK000262,CUST002792,Damaged Product,6,1
TICK000263,CUST009995,Refund,6,1
TICK000264,CUST012110,Late Delivery,52,5
TICK000265,CUST042068,Refund,84,3
TICK000266,CUST006243,Wrong Item,59,4
TICK000267,CUST012279,Late Delivery,103,2
TICK000268,CUST009947,Refund,34,3
TICK000269,CUST008884,Payment Issue,24,2
TICK000270,CUST034216,Wrong Item,94,5
TICK000271,CUST027067,Late Delivery,93,4
TICK000272,CUST013196,Payment Issue,15,2
TICK000273,CUST021797,Late Delivery,5,3
TICK000274,CUST027292,Payment Issue,39,2
TICK000275,CUST028727,Damaged Product,51,2
TICK000276,CUST045849,Payment Issue,69,5
TICK000277,CUST010149,Wrong Item,12,1
TICK000278,CUST039652,Late Delivery,54,5
TICK000279,CUST019555,Refund,69,5
TICK000280,CUST024396,Payment Issue,92,1
TICK000281,CUST006297,Wrong Item,96,5
TICK000282,CUST021065,Refund,79,1
TICK000283,CUST029736,Late Delivery,31,3
TICK000284,CUST046966,Late Delivery,118,5
TICK000285,CUST042497,Refund,22,4
TICK000286,CUST032490,Late Delivery,78,3
TICK000287,CUST043485,Wrong Item,67,1
TICK000288,CUST035953,Late Delivery,20,5
TICK000289,CUST016360,Late Delivery,36,5
TICK000290,CUST025187,Wrong Item,9,4
TICK000291,CUST028841,Wrong Item,82,5
TICK000292,CUST040703,Damaged Product,67,3
TICK000293,CUST047699,Payment Issue,80,5
TICK000294,CUST041046,Wrong Item,116,1
TICK000295,CUST010367,Wrong Item,94,1
TICK000296,CUST046678,Refund,13,5
TICK000297,CUST049734,Damaged Product,26,1
TICK000298,CUST034400,Wrong Item,6,5
TICK000299,CUST018266,Late Delivery,22,4
TICK000300,CUST005107,Late Delivery,1,2
TICK000301,CUST002805,Refund,77,1
TICK000302,CUST034605,Refund,21,3
TICK000303,CUST006708,Refund,89,3
TICK000304,CUST027217,Refund,108,2
TICK000305,CUST015748,Payment Issue,116,4
TICK000306,CUST048072,Payment Issue,100,3
TICK000307,CUST030989,Damaged Product,77,4
TICK000308,CUST028270,Wrong Item,55,3
TICK000309,CUST031024,Late Delivery,27,3
TICK000310,CUST003172,Wrong Item,106,3
TICK000311,CUST042528,Payment Issue,45,1
TICK000312,CUST020287,Late Delivery,4,4
TICK000313,CUST017906,Damaged Product,30,1
TICK000314,CUST037195,Damaged Product,59,2
TICK000315,CUST001824,Late Delivery,80,4
TICK000316,CUST045158,Wrong Item,98,4
TICK000317,CUST001086,Refund,107,3
TICK000318,CUST016845,Refund,116,1
TICK000319,CUST028906,Refund,61,1
TICK000320,CUST021206,Refund,25,5
TICK000321,CUST007911,Wrong Item,13,1
TICK000322,CUST006800,Payment Issue,58,5
TICK000323,CUST004923,Late Delivery,76,2
TICK000324,CUST026532,Late Delivery,1,5
TICK000325,CUST029400,Payment Issue,61,2
TICK000326,CUST030704,Late Delivery,111,1
TICK000327,CUST022173,Wrong Item,32,3
TICK000328,CUST033029,Refund,35,2
TICK000329,CUST016420,Wrong Item,9,4
TICK000330,CUST028687,Damaged Product,71,2
TICK000331,CUST026718,Payment Issue,95,4
TICK000332,CUST045518,Late Delivery,64,2
TICK000333,CUST024192,Wrong Item,86,3
TICK000334,CUST002979,Wrong Item,22,1
TICK000335,CUST014008,Payment Issue,85,5
TICK000336,CUST046877,Payment Issue,94,1
TICK000337,CUST048151,Damaged Product,8,5
TICK000338,CUST000760,Late Delivery,104,3
TICK000339,CUST005090,Payment Issue,34,5
TICK000340,CUST012555,Payment Issue,80,3
TICK000341,CUST047605,Damaged Product,27,5
TICK000342,CUST015621,Payment Issue,19,1
TICK000343,CUST003170,Payment Issue,82,4
TICK000344,CUST001657,Damaged Product,78,3
TICK000345,CUST044507,Payment Issue,31,1
TICK000346,CUST015211,Wrong Item,40,4
TICK000347,CUST040559,Damaged Product,11,3
TICK000348,CUST034231,Late Delivery,20,3
TICK000349,CUST042318,Wrong Item,19,2
TICK000350,CUST000502,Late Delivery,64,4
TICK000351,CUST039785,Damaged Product,24,2
TICK000352,CUST011245,Payment Issue,20,4
TICK000353,CUST036037,Wrong Item,62,1
TICK000354,CUST002303,Refund,76,5
TICK000355,CUST015933,Wrong Item,77,3
TICK000356,CUST041043,Wrong Item,57,3
TICK000357,CUST002851,Wrong Item,39,1
TICK000358,CUST030172,Damaged Product,4,4
TICK000359,CUST028950,Wrong Item,12,3
TICK000360,CUST011916,Refund,7,4
TICK000361,CUST016892,Refund,95,3
TICK000362,CUST026259,Wrong Item,29,5
TICK000363,CUST001553,Wrong Item,19,2
TICK000364,CUST030375,Refund,84,2
TICK000365,CUST025929,Refund,97,2
TICK000366,CUST035358,Damaged Product,55,1
TICK000367,CUST025016,Refund,51,3
TICK000368,CUST018493,Late Delivery,62,1
TICK000369,CUST024008,Damaged Product,104,2
TICK000370,CUST030703,Damaged Product,6,1
TICK000371,CUST034266,Damaged Product,44,4
TICK000372,CUST046086,Refund,19,1
TICK000373,CUST023322,Late Delivery,20,3
TICK000374,CUST033038,Payment Issue,22,1
TICK000375,CUST016781,Wrong Item,22,5
TICK000376,CUST021763,Wrong Item,16,1
TICK000377,CUST008383,Damaged Product,81,5
TICK000378,CUST013480,Late Delivery,17,5
TICK000379,CUST043543,Wrong Item,30,5
TICK000380,CUST017138,Wrong Item,59,5
TICK000381,CUST018766,Refund,45,1
TICK000382,CUST045486,Damaged Product,29,3
TICK000383,CUST032722,Damaged Product,17,4
TICK000384,CUST006510,Damaged Product,87,5
TICK000385,CUST000204,Wrong Item,74,4
TICK000386,CUST025292,Late Delivery,110,5
TICK000387,CUST001091,Damaged Product,45,3
TICK000388,CUST016740,Refund,37,1
TICK000389,CUST015285,Wrong Item,87,3
TICK000390,CUST023865,Late Delivery,91,1
TICK000391,CUST039303,Refund,79,5
TICK000392,CUST037868,Wrong Item,91,5
TICK000393,CUST007903,Wrong Item,103,1
TICK000394,CUST005786,Damaged Product,46,5
TICK000395,CUST003238,Wrong Item,58,2
TICK000396,CUST009649,Damaged Product,66,2
TICK000397,CUST010809,Late Delivery,86,5
TICK000398,CUST038581,Payment Issue,44,3
TICK000399,CUST043589,Wrong Item,59,1
TICK000400,CUST047900,Payment Issue,18,5
TICK000401,CUST030883,Late Delivery,35,1
TICK000402,CUST040556,Damaged Product,80,2
TICK000403,CUST009664,Late Delivery,7,4
TICK000404,CUST007756,Wrong Item,103,2
TICK000405,CUST033938,Wrong Item,10,5
TICK000406,CUST001286,Late Delivery,80,1
TICK000407,CUST030878,Payment Issue,62,2
TICK000408,CUST021915,Wrong Item,79,5
TICK000409,CUST010912,Payment Issue,81,2
TICK000410,CUST035653,Damaged Product,68,3
TICK000411,CUST036647,Refund,119,1
TICK000412,CUST028510,Refund,75,1
TICK000413,CUST039562,Late Delivery,30,2
TICK000414,CUST034453,Refund,52,5
TICK000415,CUST020046,Late Delivery,23,2
TICK000416,CUST034859,Refund,45,1
TICK000417,CUST005502,Payment Issue,43,5
TICK000418,CUST030756,Damaged Product,30,2
TICK000419,CUST043261,Payment Issue,81,4
TICK000420,CUST040731,Wrong Item,100,5
TICK000421,CUST026429,Late Delivery,8,3
TICK000422,CUST043359,Damaged Product,16,1
TICK000423,CUST034159,Late Delivery,80,2
TICK000424,CUST049719,Late Delivery,11,4
TICK000425,CUST001172,Payment Issue,117,4
TICK000426,CUST003416,Refund,14,2
TICK000427,CUST030913,Late Delivery,94,2
TICK000428,CUST036198,Wrong Item,108,2
TICK000429,CUST017311,Late Delivery,81,2
TICK000430,CUST000345,Payment Issue,44,1
TICK000431,CUST018510,Refund,105,3
TICK000432,CUST016637,Late Delivery,23,2
TICK000433,CUST048733,Payment Issue,9,2
TICK000434,CUST023354,Payment Issue,54,5
TICK000435,CUST018313,Damaged Product,91,1
TICK000436,CUST010339,Refund,29,4
TICK000437,CUST011162,Late Delivery,85,5
TICK000438,CUST018159,Payment Issue,8,2
TICK000439,CUST044355,Damaged Product,113,4
TICK000440,CUST027401,Refund,70,2
TICK000441,CUST023033,Wrong Item,69,3
TICK000442,CUST027680,Payment Issue,117,2
TICK000443,CUST036939,Late Delivery,52,3
TICK000444,CUST043850,Damaged Product,43,1
TICK000445,CUST037783,Wrong Item,90,1
TICK000446,CUST014930,Payment Issue,23,3
TICK000447,CUST008179,Damaged Product,44,1
TICK000448,CUST008495,Payment Issue,119,2
TICK000449,CUST040523,Refund,110,1
TICK000450,CUST019368,Refund,91,3
TICK000451,CUST018393,Late Delivery,46,3
TICK000452,CUST046685,Damaged Product,50,4
TICK000453,CUST007528,Damaged Product,92,5
TICK000454,CUST004532,Wrong Item,67,1
TICK000455,CUST014955,Refund,80,2
TICK000456,CUST014368,Damaged Product,96,3
TICK000457,CUST044885,Refund,118,3
TICK000458,CUST036210,Refund,86,2
TICK000459,CUST047909,Damaged Product,12,2
TICK000460,CUST018331,Payment Issue,78,5
TICK000461,CUST027614,Payment Issue,109,5
TICK000462,CUST039555,Payment Issue,72,2
TICK000463,CUST019140,Late Delivery,5,2
TICK000464,CUST013170,Wrong Item,39,1
TICK000465,CUST026438,Payment Issue,15,5
TICK000466,CUST042307,Late Delivery,111,4
TICK000467,CUST012431,Wrong Item,11,4
TICK000468,CUST033178,Payment Issue,47,4
TICK000469,CUST004696,Refund,6,2
TICK000470,CUST040124,Payment Issue,53,5
TICK000471,CUST039382,Wrong Item,74,5
TICK000472,CUST012110,Wrong Item,117,4
TICK000473,CUST045344,Wrong Item,49,1
TICK000474,CUST013059,Refund,111,5
TICK000475,CUST013875,Late Delivery,100,1
TICK000476,CUST029403,Damaged Product,2,5
TICK000477,CUST049266,Refund,55,3
TICK000478,CUST008895,Damaged Product,77,5
TICK000479,CUST049662,Payment Issue,51,5
TICK000480,CUST044979,Late Delivery,42,3
TICK000481,CUST026076,Late Delivery,2,2
TICK000482,CUST016760,Damaged Product,43,3
TICK000483,CUST016924,Refund,9,2
TICK000484,CUST024940,Late Delivery,107,5
TICK000485,CUST001887,Late Delivery,40,2
TICK000486,CUST041119,Damaged Product,108,5
TICK000487,CUST019120,Late Delivery,8,4
TICK000488,CUST009646,Payment Issue,72,2
TICK000489,CUST041956,Refund,28,4
TICK000490,CUST009746,Damaged Product,55,4
TICK000491,CUST013242,Late Delivery,47,3
TICK000492,CUST047245,Payment Issue,75,4
TICK000493,CUST038421,Damaged Product,39,1
TICK000494,CUST041786,Late Delivery,95,2
TICK000495,CUST041242,Late Delivery,24,3
TICK000496,CUST011921,Late Delivery,71,1
TICK000497,CUST027066,Payment Issue,17,4
TICK000498,CUST020103,Wrong Item,44,4
TICK000499,CUST046830,Payment Issue,35,4
TICK000500,CUST028980,Damaged Product,50,3
TICK000501,CUST028208,Damaged Product,89,4
TICK000502,CUST012888,Late Delivery,64,2
TICK000503,CUST047880,Damaged Product,25,5
TICK000504,CUST038485,Refund,88,2
TICK000505,CUST030795,Payment Issue,7,3
TICK000506,CUST013065,Refund,57,5
TICK000507,CUST040865,Wrong Item,49,4
TICK000508,CUST036591,Refund,42,1
TICK000509,CUST044050,Refund,32,4
TICK000510,CUST006909,Wrong Item,97,3
TICK000511,CUST018471,Payment Issue,13,5
TICK000512,CUST028718,Payment Issue,68,3
TICK000513,CUST001915,Payment Issue,101,3
TICK000514,CUST031740,Damaged Product,47,1
TICK000515,CUST002976,Damaged Product,91,3
TICK000516,CUST042534,Wrong Item,58,3
TICK000517,CUST033283,Refund,78,2
TICK000518,CUST046320,Damaged Product,60,4
TICK000519,CUST007029,Refund,38,5
TICK000520,CUST027074,Payment Issue,28,1
TICK000521,CUST030619,Wrong Item,9,5
TICK000522,CUST009471,Refund,62,4
TICK000523,CUST047804,Refund,11,3
TICK000524,CUST004409,Late Delivery,16,3
TICK000525,CUST008479,Damaged Product,69,1
TICK000526,CUST033886,Refund,67,5
TICK000527,CUST034729,Damaged Product,28,5
TICK000528,CUST013254,Late Delivery,68,3
TICK000529,CUST042581,Payment Issue,19,2
TICK000530,CUST046395,Late Delivery,117,1
TICK000531,CUST036618,Damaged Product,42,2
TICK000532,CUST020449,Late Delivery,19,2
TICK000533,CUST006986,Damaged Product,98,3
TICK000534,CUST013971,Payment Issue,103,4
TICK000535,CUST038379,Damaged Product,94,2
TICK000536,CUST020392,Late Delivery,115,2
TICK000537,CUST026103,Damaged Product,97,4
TICK000538,CUST018499,Damaged Product,34,5
TICK000539,CUST006532,Payment Issue,31,5
TICK000540,CUST041854,Refund,26,5
TICK000541,CUST023710,Payment Issue,61,1
TICK000542,CUST009396,Wrong Item,62,4
TICK000543,CUST013979,Refund,24,4
TICK000544,CUST023674,Late Delivery,20,4
TICK000545,CUST007274,Payment Issue,38,1
TICK000546,CUST006059,Payment Issue,9,2
TICK000547,CUST044739,Payment Issue,10,3
TICK000548,CUST026954,Refund,106,1
TICK000549,CUST049763,Damaged Product,50,5
TICK000550,CUST029133,Wrong Item,74,3
TICK000551,CUST025002,Payment Issue,104,5
TICK000552,CUST012716,Payment Issue,112,4
TICK000553,CUST018404,Wrong Item,79,5
TICK000554,CUST017017,Payment Issue,110,1
TICK000555,CUST005489,Refund,63,5
TICK000556,CUST021218,Refund,28,4
TICK000557,CUST039366,Payment Issue,28,4
TICK000558,CUST015660,Wrong Item,113,1
TICK000559,CUST045735,Wrong Item,89,3
TICK000560,CUST039405,Refund,10,3
TICK000561,CUST046656,Wrong Item,32,4
TICK000562,CUST046512,Payment Issue,11,1
TICK000563,CUST008459,Damaged Product,41,3
TICK000564,CUST034237,Late Delivery,15,3
TICK000565,CUST018460,Damaged Product,59,3
TICK000566,CUST006251,Damaged Product,63,1
TICK000567,CUST023652,Damaged Product,45,4
TICK000568,CUST014647,Late Delivery,86,4
TICK000569,CUST020412,Refund,103,5
TICK000570,CUST035659,Late Delivery,21,1
TICK000571,CUST046091,Late Delivery,113,5
TICK000572,CUST006383,Refund,51,5
TICK000573,CUST016232,Refund,55,5
TICK000574,CUST040230,Damaged Product,94,3
TICK000575,CUST010096,Payment Issue,84,1
TICK000576,CUST020868,Late Delivery,6,2
TICK000577,CUST033211,Refund,45,5
TICK000578,CUST011842,Payment Issue,11,2
TICK000579,CUST027702,Refund,49,4
TICK000580,CUST033755,Refund,99,2
TICK000581,CUST030009,Damaged Product,82,2
TICK000582,CUST023770,Damaged Product,80,5
TICK000583,CUST049385,Refund,81,4
TICK000584,CUST012173,Payment Issue,115,1
TICK000585,CUST017694,Refund,19,2
TICK000586,CUST045604,Wrong Item,105,1
TICK000587,CUST040488,Damaged Product,105,1
TICK000588,CUST014348,Late Delivery,32,3
TICK000589,CUST002419,Refund,78,5
TICK000590,CUST014373,Payment Issue,74,4
TICK000591,CUST036972,Late Delivery,4,3
TICK000592,CUST003313,Payment Issue,24,1
TICK000593,CUST045847,Payment Issue,70,2
TICK000594,CUST028232,Refund,107,5
TICK000595,CUST013354,Damaged Product,21,3
TICK000596,CUST026449,Damaged Product,36,2
TICK000597,CUST002086,Late Delivery,23,3
TICK000598,CUST035532,Refund,70,3
TICK000599,CUST010373,Late Delivery,106,4
TICK000600,CUST001060,Late Delivery,87,2
TICK000601,CUST023611,Wrong Item,71,3
TICK000602,CUST011424,Refund,75,3
TICK000603,CUST003962,Late Delivery,28,3
TICK000604,CUST029420,Refund,110,5
TICK000605,CUST020451,Damaged Product,100,2
TICK000606,CUST009414,Refund,49,2
TICK000607,CUST021153,Damaged Product,30,2
TICK000608,CUST025683,Late Delivery,112,1
TICK000609,CUST017156,Payment Issue,93,3
TICK000610,CUST034067,Wrong Item,56,1
TICK000611,CUST037765,Late Delivery,23,2
TICK000612,CUST032326,Damaged Product,44,1
TICK000613,CUST047722,Damaged Product,27,4
TICK000614,CUST015113,Payment Issue,49,5
TICK000615,CUST019651,Payment Issue,41,3
TICK000616,CUST003940,Late Delivery,62,3
TICK000617,CUST009462,Payment Issue,17,1
TICK000618,CUST042530,Damaged Product,11,2
TICK000619,CUST005500,Wrong Item,70,4
TICK000620,CUST018463,Late Delivery,115,4
TICK000621,CUST023271,Wrong Item,30,1
TICK000622,CUST036203,Wrong Item,12,5
